"","Year","Country","Series","Production"
"1549","2011","Malaysia","Unemployment (% of total employment)","3.09999990463257"
"1550","2012","Malaysia","Unemployment (% of total employment)","3"
"1551","2013","Malaysia","Unemployment (% of total employment)","3.20000004768372"
"1552","2014","Malaysia","Unemployment (% of total employment)","2"
"1879","2005","Indonesia","Population (in millions)","226254703"
"1880","2006","Indonesia","Population (in millions)","229263980"
"1881","2007","Indonesia","Population (in millions)","232296830"
"1882","2008","Indonesia","Population (in millions)","235360765"
"1883","2009","Indonesia","Population (in millions)","238465165"
"1884","2010","Indonesia","Population (in millions)","241613126"
"1885","2011","Indonesia","Population (in millions)","244808254"
"1886","2012","Indonesia","Population (in millions)","248037853"
"1887","2013","Indonesia","Population (in millions)","251268276"
"1888","2014","Indonesia","Population (in millions)","254454778"
"1984","2005","Malaysia","Population (in millions)","25796124"
"1985","2006","Malaysia","Population (in millions)","26263048"
"1986","2007","Malaysia","Population (in millions)","26730607"
"1987","2008","Malaysia","Population (in millions)","27197419"
"1988","2009","Malaysia","Population (in millions)","27661017"
"1989","2010","Malaysia","Population (in millions)","28119500"
"1990","2011","Malaysia","Population (in millions)","28572970"
"1991","2012","Malaysia","Population (in millions)","29021940"
"1992","2013","Malaysia","Population (in millions)","29465372"
"1993","2014","Malaysia","Population (in millions)","29901997"
"2761","2005","Indonesia","Export of Goods and Services (% of GDP)","34.0672676279992"
"2762","2006","Indonesia","Export of Goods and Services (% of GDP)","31.0347163143166"
"2763","2007","Indonesia","Export of Goods and Services (% of GDP)","29.4357184851263"
"2764","2008","Indonesia","Export of Goods and Services (% of GDP)","29.8082841673732"
"2765","2009","Indonesia","Export of Goods and Services (% of GDP)","24.1591196686279"
"2766","2010","Indonesia","Export of Goods and Services (% of GDP)","24.2990309366408"
"2767","2011","Indonesia","Export of Goods and Services (% of GDP)","26.3273530888836"
"2768","2012","Indonesia","Export of Goods and Services (% of GDP)","24.5943787881769"
"2769","2013","Indonesia","Export of Goods and Services (% of GDP)","23.9235763793605"
"2770","2014","Indonesia","Export of Goods and Services (% of GDP)","23.6339157701355"
"2866","2005","Malaysia","Export of Goods and Services (% of GDP)","112.898976779781"
"2867","2006","Malaysia","Export of Goods and Services (% of GDP)","112.185668827698"
"2868","2007","Malaysia","Export of Goods and Services (% of GDP)","106.168575465176"
"2869","2008","Malaysia","Export of Goods and Services (% of GDP)","99.4997650360804"
"2870","2009","Malaysia","Export of Goods and Services (% of GDP)","91.4168021810619"
"2871","2010","Malaysia","Export of Goods and Services (% of GDP)","86.9304168076802"
"2872","2011","Malaysia","Export of Goods and Services (% of GDP)","85.2554421085998"
"2873","2012","Malaysia","Export of Goods and Services (% of GDP)","79.2998926127232"
"2874","2013","Malaysia","Export of Goods and Services (% of GDP)","75.6290171046315"
"2875","2014","Malaysia","Export of Goods and Services (% of GDP)","73.7920550654064"
"3202","2005","Indonesia","Foreign Direct Investment (in USD)","-5271257207.64285"
"3203","2006","Indonesia","Foreign Direct Investment (in USD)","-2188448467.00071"
"3204","2007","Indonesia","Foreign Direct Investment (in USD)","-2253330000"
"3205","2008","Indonesia","Foreign Direct Investment (in USD)","-3418723398.70827"
"3206","2009","Indonesia","Foreign Direct Investment (in USD)","-2628247482.66651"
"3207","2010","Indonesia","Foreign Direct Investment (in USD)","-11106333134.5373"
"3208","2011","Indonesia","Foreign Direct Investment (in USD)","-11528394761.9029"
"3209","2012","Indonesia","Foreign Direct Investment (in USD)","-13716225988.1946"
"3210","2013","Indonesia","Foreign Direct Investment (in USD)","-12170055178.7636"
"3211","2014","Indonesia","Foreign Direct Investment (in USD)","-14733198282.6051"
"3307","2005","Malaysia","Foreign Direct Investment (in USD)","-993682959.956471"
"3308","2006","Malaysia","Foreign Direct Investment (in USD)","-53139540.9150183"
"3309","2007","Malaysia","Foreign Direct Investment (in USD)","2744191223.46663"
"3310","2008","Malaysia","Foreign Direct Investment (in USD)","7827500376.04625"
"3311","2009","Malaysia","Foreign Direct Investment (in USD)","6626128851.69466"
"3312","2010","Malaysia","Foreign Direct Investment (in USD)","4463836202.40628"
"3313","2011","Malaysia","Foreign Direct Investment (in USD)","2988992964.92797"
"3314","2012","Malaysia","Foreign Direct Investment (in USD)","8001103205.83825"
"3315","2013","Malaysia","Foreign Direct Investment (in USD)","2111932921.02853"
"3316","2014","Malaysia","Foreign Direct Investment (in USD)","5440442694.20483"
