"","Country","Country_code","Series","Series_code","Year","Number"
"22","Indonesia","IDN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"23","Indonesia","IDN","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"24","Indonesia","IDN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"25","Indonesia","IDN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","54.3311122501281"
"26","Indonesia","IDN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"27","Indonesia","IDN","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","18.011"
"28","Indonesia","IDN","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"29","Indonesia","IDN","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"30","Indonesia","IDN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"31","Indonesia","IDN","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"32","Indonesia","IDN","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"33","Indonesia","IDN","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"34","Indonesia","IDN","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"35","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","15.8844951307022"
"36","Indonesia","IDN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"37","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","0"
"38","Indonesia","IDN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"39","Indonesia","IDN","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"40","Indonesia","IDN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"41","Japan","JPN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"42","Japan","JPN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"43","Japan","JPN","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"44","Japan","JPN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"45","Japan","JPN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"46","Japan","JPN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","6.22361951064017"
"47","Japan","JPN","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","7.6"
"48","Japan","JPN","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"49","Japan","JPN","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","1110.26340464143"
"50","Japan","JPN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"51","Japan","JPN","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"52","Japan","JPN","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"53","Japan","JPN","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"54","Japan","JPN","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"55","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","10.7229408129351"
"56","Japan","JPN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"57","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","478.995340162869"
"58","Japan","JPN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"59","Japan","JPN","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"60","Japan","JPN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"61","Korea, Rep.","KOR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"62","Korea, Rep.","KOR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"63","Korea, Rep.","KOR","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"64","Korea, Rep.","KOR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"65","Korea, Rep.","KOR","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"66","Korea, Rep.","KOR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"67","Korea, Rep.","KOR","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","14.344"
"68","Korea, Rep.","KOR","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"69","Korea, Rep.","KOR","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"70","Korea, Rep.","KOR","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"71","Korea, Rep.","KOR","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"72","Korea, Rep.","KOR","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"73","Korea, Rep.","KOR","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"74","Korea, Rep.","KOR","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"75","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","3.15810788320985"
"76","Korea, Rep.","KOR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"77","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","155.596857664865"
"78","Korea, Rep.","KOR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"79","Korea, Rep.","KOR","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"80","Korea, Rep.","KOR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"81","Cambodia","KHM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"82","Cambodia","KHM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"83","Cambodia","KHM","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"84","Cambodia","KHM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"85","Cambodia","KHM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"86","Cambodia","KHM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"87","Cambodia","KHM","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","21.772"
"88","Cambodia","KHM","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"89","Cambodia","KHM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"90","Cambodia","KHM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"91","Cambodia","KHM","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"92","Cambodia","KHM","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"93","Cambodia","KHM","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"94","Cambodia","KHM","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"95","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","13.9013451044662"
"96","Cambodia","KHM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"97","Cambodia","KHM","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","111.342479726807"
"98","Cambodia","KHM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"99","Cambodia","KHM","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"100","Cambodia","KHM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"101","Hong Kong SAR, China","HKG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"102","Hong Kong SAR, China","HKG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"103","Hong Kong SAR, China","HKG","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"104","Hong Kong SAR, China","HKG","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"105","Hong Kong SAR, China","HKG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"106","Hong Kong SAR, China","HKG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"107","Hong Kong SAR, China","HKG","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","5.921"
"108","Hong Kong SAR, China","HKG","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"109","Hong Kong SAR, China","HKG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"110","Hong Kong SAR, China","HKG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"111","Hong Kong SAR, China","HKG","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"112","Hong Kong SAR, China","HKG","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"113","Hong Kong SAR, China","HKG","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"114","Hong Kong SAR, China","HKG","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"115","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","0"
"116","Hong Kong SAR, China","HKG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"117","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","429.442874392053"
"118","Hong Kong SAR, China","HKG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"119","Hong Kong SAR, China","HKG","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"120","Hong Kong SAR, China","HKG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"121","Lao PDR","LAO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"122","Lao PDR","LAO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"123","Lao PDR","LAO","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"124","Lao PDR","LAO","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"125","Lao PDR","LAO","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"126","Lao PDR","LAO","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"127","Lao PDR","LAO","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","20.313"
"128","Lao PDR","LAO","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"129","Lao PDR","LAO","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"130","Lao PDR","LAO","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"131","Lao PDR","LAO","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"132","Lao PDR","LAO","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"133","Lao PDR","LAO","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"134","Lao PDR","LAO","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"135","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","0"
"136","Lao PDR","LAO","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"137","Lao PDR","LAO","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","0"
"138","Lao PDR","LAO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"139","Lao PDR","LAO","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"140","Lao PDR","LAO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"141","Myanmar","MMR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"142","Myanmar","MMR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"143","Myanmar","MMR","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"144","Myanmar","MMR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"145","Myanmar","MMR","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"146","Myanmar","MMR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"147","Myanmar","MMR","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","21.793"
"148","Myanmar","MMR","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"149","Myanmar","MMR","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"150","Myanmar","MMR","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"151","Myanmar","MMR","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"152","Myanmar","MMR","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"153","Myanmar","MMR","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"154","Myanmar","MMR","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"155","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","0"
"156","Myanmar","MMR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"157","Myanmar","MMR","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","0"
"158","Myanmar","MMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"159","Myanmar","MMR","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"160","Myanmar","MMR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"161","Philippines","PHL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"162","Philippines","PHL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"163","Philippines","PHL","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"164","Philippines","PHL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"165","Philippines","PHL","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","26.9405769074564"
"166","Philippines","PHL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"167","Philippines","PHL","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","11.181"
"168","Philippines","PHL","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"169","Philippines","PHL","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"170","Philippines","PHL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"171","Philippines","PHL","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"172","Philippines","PHL","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"173","Philippines","PHL","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"174","Philippines","PHL","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"175","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","11.947350261744"
"176","Philippines","PHL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"177","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","254.427090672771"
"178","Philippines","PHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"179","Philippines","PHL","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"180","Philippines","PHL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"181","Singapore","SGP","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"182","Singapore","SGP","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"183","Singapore","SGP","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"184","Singapore","SGP","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"185","Singapore","SGP","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"186","Singapore","SGP","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"187","Singapore","SGP","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","6.2"
"188","Singapore","SGP","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"189","Singapore","SGP","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"190","Singapore","SGP","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"191","Singapore","SGP","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"192","Singapore","SGP","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"193","Singapore","SGP","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"194","Singapore","SGP","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"195","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","162.893577556225"
"196","Singapore","SGP","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"197","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","427.880407170241"
"198","Singapore","SGP","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"199","Singapore","SGP","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"200","Singapore","SGP","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"201","Thailand","THA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"202","Thailand","THA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"203","Thailand","THA","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"204","Thailand","THA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"205","Thailand","THA","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","36.4443804267702"
"206","Thailand","THA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"207","Thailand","THA","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","13.18"
"208","Thailand","THA","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"209","Thailand","THA","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"210","Thailand","THA","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"211","Thailand","THA","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"212","Thailand","THA","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"213","Thailand","THA","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"214","Thailand","THA","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"215","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","16.1446431981525"
"216","Thailand","THA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"217","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","100.767585328907"
"218","Thailand","THA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"219","Thailand","THA","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"220","Thailand","THA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"221","Vietnam","VNM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"222","Vietnam","VNM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"223","Vietnam","VNM","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"224","Vietnam","VNM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"225","Vietnam","VNM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","0"
"226","Vietnam","VNM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"227","Vietnam","VNM","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","12.044"
"228","Vietnam","VNM","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"229","Vietnam","VNM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"230","Vietnam","VNM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"231","Vietnam","VNM","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"232","Vietnam","VNM","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"233","Vietnam","VNM","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"234","Vietnam","VNM","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"235","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","0"
"236","Vietnam","VNM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"237","Vietnam","VNM","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","0"
"238","Vietnam","VNM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"239","Vietnam","VNM","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"240","Vietnam","VNM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"241","China","CHN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","965","0"
"242","China","CHN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","965","0"
"243","China","CHN","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","965","0"
"244","China","CHN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","965","0"
"245","China","CHN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","965","37.5490196078431"
"246","China","CHN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","965","0"
"247","China","CHN","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","965","9.5"
"248","China","CHN","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","965","0"
"249","China","CHN","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","965","0"
"250","China","CHN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","965","0"
"251","China","CHN","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","965","0"
"252","China","CHN","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","965","0"
"253","China","CHN","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","965","0"
"254","China","CHN","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","965","0"
"255","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","965","3.63898500576701"
"256","China","CHN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","965","0"
"257","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","965","98.4867777522206"
"258","China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","965","0"
"259","China","CHN","GINI index (World Bank estimate)","SI.POV.GINI","965","0"
"260","China","CHN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","965","0"
"261","Indonesia","IDN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","965","0"
"262","Indonesia","IDN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","965","0"
"263","Indonesia","IDN","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","965","0"
"264","Indonesia","IDN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","965","0"
"265","Indonesia","IDN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","965","59.0847739350485"
"266","Indonesia","IDN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","965","0"
"267","Indonesia","IDN","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","965","15.56"
